owner,address,zip,source,doc_type,filing_date,case_number,adjudged_value,minimum_bid,tax_years,sale_status,score,signals
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202471246,"$592,853.00","$45,515.13",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $143,012.00 Minimum Bid: $11,488.57",,Harris Co. Tax Sale,TAX_DELINQUENT,,202517843,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202517843,"$143,012.00","$11,488.57",2023 - 2024,,30,tax_delinquency
,"Adjudged Value: $330,125.00 Minimum Bid: $104,226.35",,Harris Co. Tax Sale,TAX_DELINQUENT,,201360435,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201360435,"$330,125.00","$104,226.35",2016 - 2024,,30,tax_delinquency
,"Adjudged Value: $5,900,577.00 Minimum Bid: $2,633,987.29",,Harris Co. Tax Sale,TAX_DELINQUENT,,201767269,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,201767269,"$5,900,577.00","$2,633,987.29",2008 - 2022,,30,tax_delinquency
,"Adjudged Value: $145,569.00 Minimum Bid: $38,155.33",,Harris Co. Tax Sale,TAX_DELINQUENT,,202216693,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202216693,"$145,569.00","$38,155.33",2019 - 2025,,30,tax_delinquency
,"Adjudged Value: $120,000.00 Minimum Bid: $71,414.41",,Harris Co. Tax Sale,TAX_DELINQUENT,,202244666,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202244666,"$120,000.00","$71,414.41",1994 - 2025,,30,tax_delinquency
,"Adjudged Value: $390,490.00 Minimum Bid: $20,001.46",,Harris Co. Tax Sale,TAX_DELINQUENT,,202257438,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202257438,"$390,490.00","$20,001.46",2022 - 2023,,30,tax_delinquency
,"Adjudged Value: $59,160.00 Minimum Bid: $3,875.52",,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,"$59,160.00","$3,875.52",2021 - 2023,,30,tax_delinquency
,"Adjudged Value: $59,160.00 Minimum Bid: $3,875.53",,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,"$59,160.00","$3,875.53",2021 - 2023,,30,tax_delinquency
,"Adjudged Value: $59,160.00 Minimum Bid: $3,875.53",,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202271218,"$59,160.00","$3,875.53",2021 - 2023,,30,tax_delinquency
,"Adjudged Value: $142,138.00 Minimum Bid: $6,123.92",,Harris Co. Tax Sale,TAX_DELINQUENT,,202284179,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202284179,"$142,138.00","$6,123.92",2023 - 2023,,30,tax_delinquency
,"Adjudged Value: $436,896.00 Minimum Bid: $52,645.91",,Harris Co. Tax Sale,TAX_DELINQUENT,,202306458,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202306458,"$436,896.00","$52,645.91",2021 - 2024,,30,tax_delinquency
,"Adjudged Value: $224,269.00 Minimum Bid: $63,126.03",,Harris Co. Tax Sale,TAX_DELINQUENT,,202311913,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202311913,"$224,269.00","$63,126.03",2018 - 2024,,30,tax_delinquency
,"Adjudged Value: $152,276.00 Minimum Bid: $55,802.20",,Harris Co. Tax Sale,TAX_DELINQUENT,,202348110,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202348110,"$152,276.00","$55,802.20",1987 - 2024,,30,tax_delinquency
,"Adjudged Value: $117,672.00 Minimum Bid: $13,605.13",,Harris Co. Tax Sale,TAX_DELINQUENT,,202514976,,,,,30,tax_delinquency
,,,Harris Co. Tax Sale,TAX_DELINQUENT,,202514976,"$117,672.00","$13,605.13",2022 - 2024,,30,tax_delinquency
